"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"CTS_cardiac.a"	"Anxa2"	0.0211856151661891	"CTS"	0.0206828873849997	0.6	16	18	5.08584114217381	0	0.161758168396259	17	0.00449328245545165	17	22	15.5
"CTS_cardiac.a"	"Arhgap29"	0.0252209803390198	"CTS"	0.0062304787976803	0.602	17	15	4.74078632646597	0	0.178723909829196	16	0.00496455305081101	16	24	15.5
"CTS_cardiac.a"	"Dact1"	0.00835724066815874	"CTS"	0.00466879046031109	0.56	6.5	27	4.12542753749725	0	0.0270022985998946	27	0.000750063849997072	27	26	15.5
"CTS_cardiac.a"	"Dpysl3"	0.0226105713218459	"CTS"	0.00572024635921341	0.569	12	16	5	0	0.148687700292034	18	0.00413021389700093	18	23	15.5
"CTS_cardiac.a"	"Fam83d"	0.00713387349850936	"CTS"	0.00207401166866851	0.58	14	28	7	0	0.0202827777014901	28	0.000563410491708059	28	17	15.5
"CTS_cardiac.a"	"Gata4"	0.0696069222123751	"CTS"	0.743104187261628	0.704	24	3	9.52736752176559	0	0.970423285064023	3	0.0269562023628895	3	8	15.5
"CTS_cardiac.a"	"Gata6"	0.0538057899149877	"CTS"	0.549348718526205	0.693	22	5	9.0766865856134	0	0.729839269771835	5	0.0202733130492176	5	9	15.5
"CTS_cardiac.a"	"Isl1"	0.0439563482385409	"CTS"	0.597317156119	0.735	29	9	11.1514112487195	0	0.651516018325389	6	0.0180976671757052	6	3	15.5
"CTS_cardiac.a"	"Klf6"	0.0406237764904985	"CTS"	0.227595022962612	0.606	19.5	10	8.36868331486437	0	0.438624196721574	10	0.0121840054644882	10	12	15.5
"CTS_cardiac.a"	"Lrrn4"	0.0214279288985336	"CTS"	0.0078308166711303	0.562	8	17	5.51375555846602	0	0.142828742410149	20	0.00396746506694859	20	20	15.5
"CTS_cardiac.a"	"Mef2c"	0.118217061269662	"CTS"	1	0.695	23	1	7.77927276254079	0	1.64464750011498	1	0.0456846527809716	1	15	15.5
"CTS_cardiac.a"	"Msx2"	0.0613089852750574	"CTS"	0.614525500440903	0.741	30	4	8.78991484580791	0	0.895156928250783	4	0.0248654702291884	4	10	15.5
"CTS_cardiac.a"	"Myocd"	0.0464399383743183	"CTS"	0.521434349400172	0.724	26	7	9.53072394973859	0	0.632402612636479	7	0.0175667392399022	7	7	15.5
"CTS_cardiac.a"	"Nkd1"	0.0452924641101635	"CTS"	0.0615803564527646	0.535	3	8	4.14364754316072	0	0.294243875334888	11	0.00817344098152466	11	25	15.5
"CTS_cardiac.a"	"Ntng1"	0.0189972214170175	"CTS"	0.0721656708251864	0.56	6.5	19	7.99813385700948	0	0.143962968935325	19	0.00399897135931459	19	14	15.5
"CTS_cardiac.a"	"Pard6b"	0.0119935304206062	"CTS"	0.0171188868592327	0.603	18	24	7.69150069772514	0	0.0723496107536716	23	0.00200971140982421	23	16	15.5
"CTS_cardiac.a"	"Pdlim3"	0.0317377638818125	"CTS"	0.026072900821673	0.569	12	13	2.99007970108959	0	0.223361360920231	13	0.00620448224778421	13	29	15.5
"CTS_cardiac.a"	"Plk2"	0.0288260099209732	"CTS"	0.0863790489937596	0.569	12	14	8.10408595396941	0	0.215796958203311	14	0.00599435995009198	14	13	15.5
"CTS_cardiac.a"	"Podxl"	0.0169898051736712	"CTS"	0.0539388401631207	0.566	9	20	6.47412985755011	0	0.128387773682237	21	0.0035663270467288	21	18	15.5
"CTS_cardiac.a"	"Pth1r"	0.0154870767431172	"CTS"	0.140497646203478	0.714	25	22	10.099602180492	0	0.179220233826915	15	0.00497833982852543	15	5	15.5
"CTS_cardiac.a"	"Rbm24"	0.00938077104281468	"CTS"	0.0761828183946818	0.606	19.5	26	13.3277097997749	0	0.0694041521297927	25	0.00192789311471646	25	2	15.5
